353,"[['13', '54'], ['16', '54']]"
374,"[['13', '62'], ['14', '62'], ['17', '62'], ['18', '62']]"
317,"[['14', 'A'], ['15', 'A'], ['18', 'A'], ['1A', 'A'], ['19', 'A'], ['17', 'A']]"
336,"[['14', 'A'], ['17', 'A'], ['18', 'A'], ['15', 'A']]"
371,"[['14', '62'], ['2A', '62'], ['18', '62'], ['20', '62']]"
330,"[['15', 'A'], ['18', 'A'], ['17', 'A'], ['1A', 'A'], ['14', 'A'], ['19', 'A']]"
312,"[['15', 'D'], ['18', 'D'], ['14', 'D'], ['19', 'D'], ['1A', 'D']]"
350,"[['16', '54']]"
351,"[['16', '54']]"
352,"[['16', '54'], ['18', '54']]"
338,"[['17', 'A'], ['18', 'A']]"
331,"[['17', 'A'], ['18', 'A'], ['15', 'A'], ['19', 'A'], ['14', 'A']]"
332,"[['18', 'A'], ['19', 'A'], ['15', 'A']]"
316,"[['18', 'D'], ['15', 'D'], ['19', 'D'], ['1A', 'D'], ['14', 'D'], ['17', 'D']]"
354,"[['18', '54'], ['20', '54'], ['16', '54']]"
360,"[['18', '62'], ['13', '62'], ['20', '62'], ['14', '62'], ['17', '62']]"
310,"[['19', 'A']]"
311,"[['19', 'A'], ['14', 'A'], ['15', 'A'], ['1A', 'A'], ['18', 'A']]"
333,"[['19', 'A'], ['17', 'A'], ['18', 'A'], ['15', 'A'], ['1A', 'A']]"
337,"[['19', 'D'], ['1A', 'D'], ['14', 'D'], ['18', 'D'], ['15', 'D']]"
361,"[['20', '62'], ['18', '62'], ['13', '62'], ['17', '62']]"
370,"[['13', '54'], ['20', '54'], ['18', '54']]"
373,"[['13', '62'], ['18', '62'], ['20', '62'], ['2A', '62'], ['14', '62'], ['17', '62'], ['19', '62']]"
314,"[['14', 'A'], ['18', 'A'], ['15', 'A'], ['1A', 'A']]"
339,"[['18', 'A']]"
334,"[['19', 'A'], ['14', 'A'], ['17', 'A'], ['18', 'A']]"
313,"[['15', 'A'], ['18', 'A'], ['17', 'A'], ['19', 'A']]"
